userid,version,sum_gamerounds,retention_1,retention_7
451,gate_30,116,1,0
452,gate_40,190,0,1
453,gate_30,228,0,1
454,gate_40,204,1,0
455,gate_30,216,0,0
456,gate_30,61,1,0
457,gate_40,224,0,0
458,gate_40,226,1,0
459,gate_40,372,1,0
460,gate_30,182,1,1
461,gate_40,515,1,0
462,gate_30,273,1,0
463,gate_30,238,1,0
464,gate_40,216,1,0
465,gate_30,258,0,1
466,gate_30,249,1,0
467,gate_40,399,1,0
468,gate_40,291,0,0
469,gate_40,301,1,0
470,gate_40,422,0,0
471,gate_40,144,0,1
472,gate_30,374,0,0
473,gate_40,134,0,0
474,gate_40,165,0,0
475,gate_30,298,0,0
476,gate_30,215,0,0
477,gate_30,164,1,0
478,gate_30,156,0,0
479,gate_30,348,1,0
480,gate_30,330,0,0
481,gate_40,120,1,0
482,gate_40,194,1,0
483,gate_30,151,0,0
484,gate_30,208,0,0
485,gate_40,77,0,0
486,gate_40,190,1,1
487,gate_30,175,1,1
488,gate_30,265,0,1
489,gate_30,374,1,0
490,gate_40,96,0,0
491,gate_40,542,0,0
492,gate_40,261,1,0
493,gate_40,288,0,0
494,gate_30,302,1,0
495,gate_30,133,0,0
496,gate_40,250,1,0
497,gate_30,278,1,0
498,gate_30,682,0,0
499,gate_40,158,1,0
500,gate_30,258,1,0
501,gate_40,276,0,0
502,gate_30,247,1,0
503,gate_30,477,1,1
504,gate_30,237,0,0
505,gate_30,270,1,0
506,gate_30,182,0,0
507,gate_40,638,0,0
508,gate_40,261,1,0
509,gate_30,155,0,0
510,gate_30,115,0,0
511,gate_40,288,1,0
512,gate_40,217,0,0
513,gate_40,150,0,0
514,gate_30,198,0,1
515,gate_30,159,1,0
516,gate_40,244,0,0
517,gate_30,321,1,1
518,gate_40,263,1,1
519,gate_30,424,1,0
520,gate_30,212,0,0
521,gate_40,102,1,0
522,gate_40,178,1,0
523,gate_30,381,1,0
524,gate_30,178,1,0
525,gate_40,215,0,0
526,gate_40,283,0,0
527,gate_30,138,0,0
528,gate_30,306,1,0
529,gate_40,170,1,1
530,gate_30,205,0,0
531,gate_30,153,0,0
532,gate_30,281,0,0
533,gate_40,368,1,0
534,gate_30,431,1,0
535,gate_30,450,0,0
536,gate_30,180,1,0
537,gate_30,417,1,0
538,gate_30,118,1,1
539,gate_30,268,1,0
540,gate_30,234,0,1
541,gate_40,305,1,0
542,gate_40,192,1,0
543,gate_40,105,0,0
544,gate_30,328,1,0
545,gate_40,194,0,0
546,gate_40,128,1,0
547,gate_40,417,0,0
548,gate_40,150,1,0
549,gate_30,221,1,0
550,gate_30,346,0,0
551,gate_40,405,0,0
552,gate_30,229,0,1
553,gate_40,316,1,1
554,gate_40,161,1,0
555,gate_30,283,0,0
556,gate_30,234,0,0
557,gate_30,257,0,1
558,gate_40,188,1,0
559,gate_30,502,0,0
560,gate_40,229,0,0
561,gate_40,313,0,1
562,gate_30,525,1,0
563,gate_30,170,0,0
564,gate_40,192,1,1
565,gate_30,261,0,1
566,gate_40,289,0,0
567,gate_40,168,1,0
568,gate_30,300,1,0
569,gate_30,313,1,0
570,gate_30,211,1,1
571,gate_40,93,1,0
572,gate_30,182,1,0
573,gate_30,200,0,0
574,gate_40,253,0,0
575,gate_30,441,1,1
576,gate_30,194,0,0
577,gate_30,374,0,0
578,gate_40,164,1,1
579,gate_30,230,0,0
580,gate_30,576,1,0
581,gate_30,315,0,0
582,gate_40,380,0,0
583,gate_30,384,0,0
584,gate_30,277,0,0
585,gate_40,403,0,0
586,gate_30,204,0,0
587,gate_40,130,0,0
588,gate_30,159,0,1
589,gate_40,188,1,0
590,gate_40,402,0,1
591,gate_40,78,0,0
592,gate_30,263,0,0
593,gate_30,154,1,0
594,gate_40,284,0,0
595,gate_30,203,0,0
596,gate_40,231,1,0
597,gate_30,88,0,1
598,gate_40,327,0,0
599,gate_40,173,0,1
600,gate_40,239,0,0
601,gate_40,218,0,0
602,gate_40,238,1,1
603,gate_40,347,0,0
604,gate_40,128,1,1
605,gate_40,281,0,1
606,gate_30,563,1,0
607,gate_30,418,0,0
608,gate_30,417,0,0
609,gate_30,189,0,0
610,gate_30,218,0,0
611,gate_40,421,1,0
612,gate_40,221,0,0
613,gate_40,171,1,0
614,gate_40,291,0,0
615,gate_30,135,1,0
616,gate_40,181,1,0
617,gate_40,430,0,0
618,gate_40,195,1,0
619,gate_30,266,1,0
620,gate_30,227,0,0
621,gate_40,164,0,1
622,gate_30,136,0,1
623,gate_30,230,0,0
624,gate_40,186,0,0
625,gate_30,197,0,0
626,gate_40,146,1,0
627,gate_30,159,1,0
628,gate_30,149,1,0
629,gate_30,47,0,0
630,gate_30,399,1,0
631,gate_40,176,0,0
632,gate_40,242,1,0
633,gate_40,67,0,0
634,gate_40,156,1,0
635,gate_30,466,1,0
636,gate_40,426,1,0
637,gate_40,209,0,0
638,gate_40,126,1,0
639,gate_40,190,0,0
640,gate_30,165,0,0
641,gate_30,322,0,1
642,gate_40,333,1,0
643,gate_30,214,0,0
644,gate_40,249,0,0
645,gate_30,445,0,0
646,gate_40,320,1,0
647,gate_30,132,0,0
648,gate_40,355,1,0
649,gate_40,214,1,1
650,gate_40,133,1,1
651,gate_30,201,0,1
652,gate_30,207,1,1
653,gate_30,370,0,0
654,gate_40,478,0,0
655,gate_30,250,1,0
656,gate_40,346,0,0
657,gate_30,157,1,0
658,gate_40,135,1,0
659,gate_30,213,0,1
660,gate_30,221,0,0
661,gate_30,215,1,0
662,gate_30,348,1,0
663,gate_40,339,0,1
664,gate_30,371,1,1
665,gate_40,307,0,0
666,gate_40,205,0,0
667,gate_30,245,1,1
668,gate_40,247,0,0
669,gate_30,390,1,0
670,gate_30,170,1,1
671,gate_30,403,1,0
672,gate_40,142,0,0
673,gate_30,222,1,0
674,gate_40,342,0,0
675,gate_30,264,1,0
676,gate_40,256,1,1
677,gate_40,246,0,0
678,gate_30,292,1,0
679,gate_40,91,1,0
680,gate_30,291,0,0
681,gate_40,564,1,0
682,gate_30,213,1,0
683,gate_40,344,1,0
684,gate_40,126,0,1
685,gate_40,258,0,1
686,gate_40,195,1,0
687,gate_40,89,1,0
688,gate_40,203,0,0
689,gate_30,192,0,0
690,gate_40,241,1,1
691,gate_30,445,0,0
692,gate_30,293,1,0
693,gate_30,289,1,0
694,gate_40,380,0,0
695,gate_30,280,1,0
696,gate_30,262,1,0
697,gate_30,297,1,0
698,gate_30,252,0,0
699,gate_30,354,0,0
700,gate_40,165,1,1
701,gate_30,164,1,0
702,gate_30,285,0,1
703,gate_40,157,0,0
704,gate_40,126,0,0
705,gate_40,106,0,1
706,gate_40,203,0,0
707,gate_30,248,0,0
708,gate_40,612,1,0
709,gate_40,250,1,0
710,gate_40,133,1,0
711,gate_30,331,1,0
712,gate_30,148,0,0
713,gate_30,132,1,0
714,gate_30,359,0,1
715,gate_30,269,1,0
716,gate_30,72,1,0
717,gate_40,346,0,0
718,gate_30,296,0,0
719,gate_40,289,0,1
720,gate_40,93,1,0
721,gate_30,107,1,0
722,gate_30,309,0,0
723,gate_40,363,0,0
724,gate_40,133,1,0
725,gate_30,325,1,0
726,gate_30,170,1,0
727,gate_30,259,1,0
728,gate_40,211,0,0
729,gate_40,214,0,0
730,gate_30,309,0,0
731,gate_30,187,0,0
732,gate_40,329,0,0
733,gate_30,297,1,0
734,gate_40,162,0,0
735,gate_40,256,1,0
736,gate_30,236,0,0
737,gate_30,135,1,1
738,gate_30,117,1,0
739,gate_40,451,0,0
740,gate_40,149,1,0
741,gate_30,257,0,0
742,gate_40,140,0,0
743,gate_30,318,1,1
744,gate_40,376,1,1
745,gate_40,200,1,0
746,gate_40,350,0,0
747,gate_40,187,0,0
748,gate_40,201,1,0
749,gate_40,188,1,0
750,gate_30,242,1,1
751,gate_40,337,0,1
752,gate_30,388,1,0
753,gate_30,259,1,0
754,gate_30,239,0,0
755,gate_30,431,0,0
756,gate_30,219,1,1
757,gate_30,202,1,1
758,gate_40,312,1,0
759,gate_30,353,0,0
760,gate_40,241,1,0
761,gate_30,552,1,0
762,gate_30,394,1,1
763,gate_30,231,0,0
764,gate_30,168,1,0
765,gate_40,160,1,0
766,gate_30,178,1,0
767,gate_40,375,1,1
768,gate_30,99,1,0
769,gate_40,88,0,1
770,gate_30,216,1,1
771,gate_30,409,1,1
772,gate_30,294,1,0
773,gate_30,188,0,0
774,gate_30,277,0,0
775,gate_30,93,1,0
776,gate_30,217,0,0
777,gate_30,217,1,0
778,gate_30,403,1,0
779,gate_30,232,1,0
780,gate_30,78,1,0
781,gate_30,450,1,0
782,gate_40,297,0,0
783,gate_40,262,0,0
784,gate_30,290,1,1
785,gate_30,187,1,1
786,gate_40,108,0,0
787,gate_40,175,0,0
788,gate_40,80,0,0
789,gate_40,813,1,0
790,gate_30,394,1,1
791,gate_30,256,0,0
792,gate_30,439,1,0
793,gate_30,301,1,0
794,gate_40,115,0,1
795,gate_30,352,0,0
796,gate_30,374,1,0
797,gate_40,306,1,0
798,gate_40,241,0,0
799,gate_40,145,0,0
800,gate_40,117,1,0
801,gate_40,275,1,0
802,gate_30,206,0,0
803,gate_40,388,1,0
804,gate_30,215,1,1
805,gate_40,389,0,1
806,gate_40,143,1,0
807,gate_30,266,0,0
808,gate_30,87,0,0
809,gate_40,80,1,0
810,gate_30,151,0,0
811,gate_40,394,1,0
812,gate_30,194,1,1
813,gate_40,271,1,0
814,gate_30,230,1,0
815,gate_40,331,0,0
816,gate_30,273,0,1
817,gate_40,270,1,0
818,gate_40,413,1,0
819,gate_40,268,1,0
820,gate_30,180,0,0
821,gate_40,324,1,0
822,gate_40,108,1,1
823,gate_30,271,1,0
824,gate_30,454,0,0
825,gate_40,429,1,1
826,gate_30,244,1,0
827,gate_40,250,1,1
828,gate_30,357,0,0
829,gate_30,131,0,0
830,gate_40,309,1,0
831,gate_40,348,1,0
832,gate_30,270,1,1
833,gate_30,123,1,0
834,gate_40,317,0,0
835,gate_30,153,1,0
836,gate_40,120,0,1
837,gate_40,272,0,1
838,gate_40,232,1,0
839,gate_40,274,0,0
840,gate_40,168,1,1
841,gate_30,394,1,0
842,gate_40,254,1,0
843,gate_40,297,1,0
844,gate_30,161,0,1
845,gate_30,511,1,0
846,gate_40,488,1,1
847,gate_30,364,1,0
848,gate_40,67,0,0
849,gate_40,318,1,0
850,gate_30,72,0,0
851,gate_40,226,1,0
852,gate_40,133,1,0
853,gate_40,363,0,0
854,gate_40,297,0,0
855,gate_40,131,0,0
856,gate_40,143,0,0
857,gate_30,313,1,0
858,gate_30,367,1,0
859,gate_40,192,1,0
860,gate_40,139,0,0
861,gate_30,231,1,1
862,gate_40,179,1,0
863,gate_40,314,0,0
864,gate_40,603,1,0
865,gate_30,156,0,0
866,gate_30,108,1,1
867,gate_40,286,1,0
868,gate_40,461,1,0
869,gate_40,201,1,1
870,gate_30,72,1,0
871,gate_30,69,0,0
872,gate_40,149,0,1
873,gate_30,383,1,0
874,gate_30,277,1,0
875,gate_40,109,0,0
876,gate_40,408,1,0
877,gate_30,256,0,1
878,gate_30,298,1,0
879,gate_30,313,1,0
880,gate_40,305,1,0
881,gate_40,203,0,0
882,gate_30,244,1,0
883,gate_30,267,1,0
884,gate_40,201,0,1
885,gate_40,237,1,1
886,gate_40,373,0,1
887,gate_40,131,0,1
888,gate_30,471,0,0
889,gate_30,127,0,0
890,gate_30,434,1,0
891,gate_40,123,0,0
892,gate_30,167,0,0
893,gate_30,174,1,0
894,gate_30,181,0,0
895,gate_30,353,1,0
896,gate_40,332,0,0
897,gate_40,317,0,0
898,gate_40,278,1,0
899,gate_30,509,0,0
900,gate_30,318,1,1
901,gate_30,357,0,0
902,gate_40,214,0,0
903,gate_40,275,1,0
904,gate_30,136,0,0
905,gate_40,143,1,0
906,gate_30,143,1,1
907,gate_40,173,1,1
908,gate_30,338,1,1
909,gate_40,195,1,1
910,gate_30,278,0,0
911,gate_30,135,1,0
912,gate_30,433,1,0
913,gate_30,222,1,1
914,gate_40,158,0,0
915,gate_40,307,1,0
916,gate_30,323,1,0
917,gate_40,257,0,0
918,gate_40,559,1,0
919,gate_30,156,1,0
920,gate_30,217,0,0
921,gate_30,363,0,0
922,gate_30,142,0,0
923,gate_30,301,0,1
924,gate_40,359,1,1
925,gate_30,372,1,0
926,gate_40,294,1,1
927,gate_30,289,1,1
928,gate_40,113,0,0
929,gate_40,288,0,0
930,gate_40,375,0,1
931,gate_40,107,1,0
932,gate_30,427,0,1
933,gate_30,225,0,0
934,gate_40,275,0,0
935,gate_30,392,1,0
936,gate_30,190,0,0
937,gate_40,28,0,0
938,gate_30,187,0,0
939,gate_30,221,1,0
940,gate_30,277,0,0
941,gate_30,105,0,0
942,gate_40,141,1,1
943,gate_30,84,0,1
944,gate_40,349,0,0
945,gate_40,341,1,1
946,gate_30,221,0,0
947,gate_30,249,1,0
948,gate_40,174,1,0
949,gate_40,231,0,0
950,gate_40,317,0,0
951,gate_30,193,0,0
952,gate_40,122,0,0
953,gate_30,577,1,1
954,gate_40,446,0,0
955,gate_40,494,1,0
956,gate_40,168,1,1
957,gate_40,295,0,0
958,gate_30,189,1,0
959,gate_40,237,1,0
960,gate_30,244,1,0
961,gate_30,146,0,1
962,gate_30,174,0,0
963,gate_30,249,1,0
964,gate_40,646,0,1
965,gate_40,357,0,0
966,gate_40,160,0,1
967,gate_40,208,1,0
968,gate_30,287,1,0
969,gate_40,181,0,0
970,gate_40,88,1,0
971,gate_40,114,0,0
972,gate_40,253,0,0
973,gate_40,174,0,0
974,gate_30,275,0,0
975,gate_40,255,1,0
976,gate_40,96,1,1
977,gate_30,214,0,0
978,gate_40,228,0,0
979,gate_40,197,1,0
980,gate_30,63,1,1
981,gate_30,391,0,0
982,gate_30,252,0,1
983,gate_30,140,0,1
984,gate_40,70,1,0
985,gate_30,182,1,1
986,gate_30,130,0,0
987,gate_40,268,1,0
988,gate_30,164,0,0
989,gate_30,118,1,0
990,gate_40,71,1,0
991,gate_30,244,1,0
992,gate_30,529,0,1
993,gate_30,224,0,0
994,gate_40,494,1,0
995,gate_40,150,0,1
996,gate_40,163,0,0
997,gate_30,315,0,0
998,gate_40,149,1,0
999,gate_30,216,0,0
1000,gate_30,138,0,1
1001,gate_30,136,0,0
1002,gate_40,158,0,0
1003,gate_40,87,1,0
1004,gate_40,197,1,0
1005,gate_30,183,0,1
1006,gate_40,198,1,0
1007,gate_40,173,0,1
1008,gate_30,114,0,0
1009,gate_30,142,1,0
1010,gate_40,491,0,0
1011,gate_30,403,0,0
1012,gate_30,242,0,0
1013,gate_30,229,1,1
1014,gate_30,92,1,0
1015,gate_30,123,1,0
1016,gate_30,387,0,0
1017,gate_30,188,1,0
1018,gate_30,255,1,0
1019,gate_30,436,1,1
1020,gate_30,205,1,0
1021,gate_30,139,0,0
1022,gate_40,168,0,0
1023,gate_30,238,1,0
1024,gate_40,285,0,0
1025,gate_30,512,0,0
1026,gate_40,120,1,0
1027,gate_30,202,0,0
1028,gate_30,125,0,1
1029,gate_30,144,0,1
1030,gate_40,288,0,0
1031,gate_30,100,0,0
1032,gate_30,158,0,0
1033,gate_40,166,0,0
1034,gate_30,115,1,0
1035,gate_30,326,0,0
1036,gate_30,175,1,0
1037,gate_30,303,1,0
1038,gate_40,175,1,0
1039,gate_30,359,1,0
1040,gate_30,249,1,0
1041,gate_30,365,0,0
1042,gate_40,237,0,0
1043,gate_40,300,1,0
1044,gate_30,212,0,0
1045,gate_40,410,1,0
1046,gate_40,294,1,1
1047,gate_30,271,1,0
1048,gate_30,204,1,1
1049,gate_40,120,1,0
1050,gate_40,152,0,1
1051,gate_30,220,1,0
1052,gate_30,206,1,1
1053,gate_30,319,1,0
1054,gate_30,285,0,0
1055,gate_40,265,0,0
1056,gate_40,164,1,1
1057,gate_40,160,0,0
1058,gate_30,344,1,0
1059,gate_30,278,1,0
1060,gate_30,316,0,0
1061,gate_30,201,0,0
1062,gate_40,248,1,0
1063,gate_30,67,1,0
1064,gate_40,270,1,1
1065,gate_30,172,0,0
1066,gate_30,74,1,0
1067,gate_40,83,0,0
